Year,Month ,Day,period,Total Gross Load,BTM WAPA,Total Net Load Serve,,,,Source,
2018,1,1,1,23.86,2.34,22,,,Total Gross Load,Gallup Historical,
2018,1,1,2,23.46,2.34,21,,,BTM WAPA,Hourly estimated based on monthly/annual energy,
2018,1,1,3,23.28,2.34,21,,,,,
2018,1,1,4,23.07,2.34,21,,,Current PLEXOS Forecast Gross Flat,191,GWh/year
2018,1,1,5,23.44,2.34,21,,,,,
2018,1,1,6,24.04,2.34,22,,,,,
2018,1,1,7,24.73,2.34,22,,,,,
2018,1,1,8,23.85,2.34,22,,,,,
2018,1,1,9,23.2,2.34,21,,,,,
2018,1,1,10,23.22,2.34,21,,,,,
2018,1,1,11,23.12,2.34,21,,,,,
2018,1,1,12,23.05,2.34,21,,,,,
2018,1,1,13,22.81,2.34,20,,,,,
2018,1,1,14,22.25,2.34,20,,,,,
2018,1,1,15,22.01,2.34,20,,,,,
2018,1,1,16,21.98,2.34,20,,,,,
2018,1,1,17,22.29,2.34,20,,,,,
2018,1,1,18,25.57,2.34,23,,,,,
2018,1,1,19,27.24,2.34,25,,,,,
2018,1,1,20,27.58,2.34,25,,,,,
2018,1,1,21,27.26,2.34,25,,,,,
2018,1,1,22,26.32,2.34,24,,,,,
2018,1,1,23,24.92,2.34,23,,,,,
2018,1,1,24,23.76,2.34,21,,,,,
2018,1,2,1,23.04,2.34,21,,,,,
2018,1,2,2,22.59,2.34,20,,,,,
2018,1,2,3,22.7,2.34,20,,,,,
2018,1,2,4,22.82,2.34,20,,,,,
2018,1,2,5,23.4,2.34,21,,,,,
2018,1,2,6,24.39,2.34,22,,,,,
2018,1,2,7,26.11,2.34,24,,,,,
2018,1,2,8,26.34,2.34,24,,,,,
2018,1,2,9,26.32,2.34,24,,,,,
2018,1,2,10,27.15,2.34,25,,,,,
2018,1,2,11,26.93,2.34,25,,,,,
2018,1,2,12,26.36,2.34,24,,,,,
2018,1,2,13,26.06,2.34,24,,,,,
2018,1,2,14,25.6,2.34,23,,,,,
2018,1,2,15,25.44,2.34,23,,,,,
2018,1,2,16,25.52,2.34,23,,,,,
2018,1,2,17,26.04,2.34,24,,,,,
2018,1,2,18,28.74,2.34,26,,,,,
2018,1,2,19,30.09,2.34,28,,,,,
2018,1,2,20,29.97,2.34,28,,,,,
2018,1,2,21,29.38,2.34,27,,,,,
2018,1,2,22,28.23,2.34,26,,,,,
2018,1,2,23,26.41,2.34,24,,,,,
2018,1,2,24,25.17,2.34,23,,,,,
2018,1,3,1,24.21,2.34,22,,,,,
2018,1,3,2,23.86,2.34,22,,,,,
2018,1,3,3,23.78,2.34,21,,,,,
2018,1,3,4,23.88,2.34,22,,,,,
2018,1,3,5,24.38,2.34,22,,,,,
2018,1,3,6,25.54,2.34,23,,,,,
2018,1,3,7,27.48,2.34,25,,,,,
2018,1,3,8,27.76,2.34,25,,,,,
