Year,Month,Day,Period,gross load
2020,2,7,1,43.96799
2020,2,7,2,43.19956
2020,2,7,3,42.94186
2020,2,7,4,43.17884
2020,2,7,5,43.03152
2020,2,7,6,44.03489
2020,2,7,7,45.90388
2020,2,7,8,47.86495
2020,2,7,9,47.79888
2020,2,7,10,47.06668
2020,2,7,11,47.36642
2020,2,7,12,47.03656
2020,2,7,13,45.85497
2020,2,7,14,45.62732
2020,2,7,15,45.46987
2020,2,7,16,45.72305
2020,2,7,17,47.47958
2020,2,7,18,50.04047
2020,2,7,19,51.28498
2020,2,7,20,49.81107
2020,2,7,21,48.30101
2020,2,7,22,46.67176
2020,2,7,23,47.40632
2020,2,7,24,44.1698
2020,2,8,1,42.57658
2020,2,8,2,41.75964
2020,2,8,3,41.10429
2020,2,8,4,40.72939
2020,2,8,5,39.1612
2020,2,8,6,39.66208
2020,2,8,7,41.87869
2020,2,8,8,44.37771
2020,2,8,9,44.91123
2020,2,8,10,43.66672
2020,2,8,11,41.01329
2020,2,8,12,38.45489
2020,2,8,13,39.89118
2020,2,8,14,40.21311
2020,2,8,15,40.41375
2020,2,8,16,40.97849
2020,2,8,17,43.03973
2020,2,8,18,46.77618
2020,2,8,19,48.82242
2020,2,8,20,47.88982
2020,2,8,21,46.93519
2020,2,8,22,45.38329
2020,2,8,23,46.97334
2020,2,8,24,44.13107
2020,2,9,1,41.9771
2020,2,9,2,40.96894
2020,2,9,3,40.53065
2020,2,9,4,40.89664
2020,2,9,5,41.50858
2020,2,9,6,42.40493
2020,2,9,7,43.87189
2020,2,9,8,46.45761
2020,2,9,9,47.69707
2020,2,9,10,46.73013
2020,2,9,11,46.21611
2020,2,9,12,45.14143
2020,2,9,13,43.84028
2020,2,9,14,42.66228
2020,2,9,15,42.97659
2020,2,9,16,43.15973
2020,2,9,17,44.96903
2020,2,9,18,47.87205
2020,2,9,19,48.8428
2020,2,9,20,47.8043
2020,2,9,21,46.6335
2020,2,9,22,45.10253
2020,2,9,23,46.95808
2020,2,9,24,44.66536
2020,2,10,1,43.23694
2020,2,10,2,42.71168
2020,2,10,3,42.55897
2020,2,10,4,42.80174
2020,2,10,5,43.55023
2020,2,10,6,45.43084
2020,2,10,7,47.76521
2020,2,10,8,49.79721
2020,2,10,9,49.2948
2020,2,10,10,47.65872
2020,2,10,11,44.8448
2020,2,10,12,43.31527
2020,2,10,13,42.55289
2020,2,10,14,42.30474
2020,2,10,15,42.36693
