Year,Month ,Day,period,Total Gross Load,BTM Western Purchases,BTM Upper WCD Purchases,BTM Solar Purchases,BTM Craig Solar, Total Net Load Serve ,,,,Source,,,,,
2019,1,1,1,93,3.08,0.38,0,0,89.95,,,Total Gross Load,YVEA Historical,,,,,
2019,1,1,2,92,3.08,0.38,0,0,88.53,,,BTM Western Purchases,Hourly estimated based on monthly/annual energy,,,,,
2019,1,1,3,91,3.08,0.38,0,0,87.75,,,BTM Upper WCD Purchases,Hourly estimated based on monthly/annual energy,,,,,
2019,1,1,4,89,3.08,0.38,0,0,85.61,,,BTM Solar Purchases,Hourly estimated based on monthly/annual energy,,,,,
2019,1,1,5,89,3.08,0.38,0,0,85.24,,,BTM Craig Solar,Hourly estimated based on monthly/annual energy,,,,,
2019,1,1,6,91,3.08,0.38,0,0,87.18,,,,,,,,,
2019,1,1,7,94,3.08,0.38,0,0,90.7,,,Current PLEXOS Forecast Gross Flat,548,GWh/year,,,,
2019,1,1,8,99,3.08,0.38,0,0,95.1,,,,,,,,,
2019,1,1,9,103,3.08,0.38,0,0.45,99.25,,,,,,,,,
2019,1,1,10,104,3.08,0.38,0,2.32,98.44,,,,,,,,,
2019,1,1,11,103,3.08,0.38,0.06,2.68,96.63,,,,,,,,,
2019,1,1,12,101,3.08,0.38,0.06,0.63,97.26,,,,,,,,,
2019,1,1,13,98,3.08,0.38,0.06,0.89,93.82,,,Row Labels,Sum of Total Gross Load,Sum of BTM Western Purchases,Sum of BTM Upper WCD Purchases,Sum of BTM Solar Purchases,Sum of BTM Craig Solar,Sum of  Total Net Load Serve 
2019,1,1,14,96,3.08,0.38,0.12,0.62,91.83,,,2019,"578,405","21,226","2,718","1,160","9,856","543,444"
2019,1,1,15,95,3.08,0.38,0.12,1.38,89.83,,,2020,"554,890","21,296","2,730","1,161","9,858","519,845"
2019,1,1,16,95,3.08,0.38,0.24,0.28,90.63,,,2021,"332,055","12,806","2,325",778,"6,054","310,092"
2019,1,1,17,99,3.08,0.38,0,1.62,94.12,,,,,,,,,
2019,1,1,18,109,3.08,0.38,0,0,105.97,,,Grand Total,"1,465,350","55,327","7,772","3,100","25,769","1,373,382"
2019,1,1,19,112,3.08,0.38,0,0,108.74,,,,,,,,,
2019,1,1,20,111,3.08,0.38,0,0,107.32,,,,,,,,,
2019,1,1,21,109,3.08,0.38,0,0,105.88,,,,,,,,,
2019,1,1,22,106,3.08,0.38,0,0,102.14,,,,,,,,,
2019,1,1,23,101,3.08,0.38,0,0,97.31,,,,,,,,,
2019,1,1,24,97,3.08,0.38,0,0,93.31,,,,,,,,,
2019,1,2,1,94,3.08,0.38,0,0,90.64,,,,,,,,,
2019,1,2,2,94,3.08,0.38,0,0,90.11,,,,,,,,,
2019,1,2,3,94,3.08,0.38,0,0,90.67,,,,,,,,,
2019,1,2,4,95,3.08,0.38,0,0,91.29,,,,,,,,,
2019,1,2,5,96,3.08,0.38,0,0,92.84,,,,,,,,,
2019,1,2,6,100,3.08,0.38,0,0,96.69,,,,,,,,,
2019,1,2,7,107,3.08,0.38,0,0,103.19,,,,,,,,,
2019,1,2,8,115,3.08,0.38,0,0,111.95,,,,,,,,,
2019,1,2,9,120,3.08,0.38,0,0.67,116.33,,,,,,,,,
2019,1,2,10,118,3.08,0.38,0.18,2.75,111.73,,,,,,,,,
2019,1,2,11,116,3.08,0.38,0.24,1.28,110.73,,,,,,,,,
2019,1,2,12,116,3.08,0.38,0.12,0.48,111.83,,,,,,,,,
2019,1,2,13,110,3.08,0.38,0.12,0.75,106.1,,,,,,,,,
2019,1,2,14,105,3.08,0.38,0.12,1.95,99.47,,,,,,,,,
2019,1,2,15,106,3.08,0.38,0.24,0.22,102.26,,,,,,,,,
2019,1,2,16,101,3.08,0.38,0.24,0.29,97.17,,,,,,,,,
2019,1,2,17,104,3.08,0.38,0,0.05,100.5,,,,,,,,,
2019,1,2,18,112,3.08,0.38,0,0,108.19,,,,,,,,,
2019,1,2,19,114,3.08,0.38,0,0,110.25,,,,,,,,,
2019,1,2,20,112,3.08,0.38,0,0,108.97,,,,,,,,,
2019,1,2,21,111,3.08,0.38,0,0,107.13,,,,,,,,,
2019,1,2,22,107,3.08,0.38,0,0,103.24,,,,,,,,,
2019,1,2,23,101,3.08,0.38,0,0,98.03,,,,,,,,,
2019,1,2,24,97,3.08,0.38,0,0,93.39,,,,,,,,,
2019,1,3,1,95,3.08,0.38,0,0,91.64,,,,,,,,,
2019,1,3,2,93,3.08,0.38,0,0,89.85,,,,,,,,,
2019,1,3,3,93,3.08,0.38,0,0,89.67,,,,,,,,,
2019,1,3,4,91,3.08,0.38,0,0,87.88,,,,,,,,,
2019,1,3,5,93,3.08,0.38,0,0,89.38,,,,,,,,,
2019,1,3,6,99,3.08,0.38,0,0,95.45,,,,,,,,,
2019,1,3,7,105,3.08,0.38,0,0,101.68,,,,,,,,,
2019,1,3,8,111,3.08,0.38,0,0,107.12,,,,,,,,,
2019,1,3,9,114,3.08,0.38,0,0.11,110.29,,,,,,,,,
2019,1,3,10,113,3.08,0.38,0.06,0.38,108.71,,,,,,,,,
2019,1,3,11,109,3.08,0.38,0.06,0.66,104.98,,,,,,,,,
2019,1,3,12,105,3.08,0.38,0.06,1.25,99.93,,,,,,,,,
2019,1,3,13,100,3.08,0.38,0.06,1.69,94.97,,,,,,,,,
2019,1,3,14,95,3.08,0.38,0.24,0.43,91.06,,,,,,,,,
2019,1,3,15,92,3.08,0.38,0.3,0.66,87.31,,,,,,,,,
2019,1,3,16,91,3.08,0.38,0.24,0.7,86.57,,,,,,,,,
2019,1,3,17,94,3.08,0.38,0,0.31,90.06,,,,,,,,,
2019,1,3,18,103,3.08,0.38,0,0,99.64,,,,,,,,,
2019,1,3,19,105,3.08,0.38,0,0,101.46,,,,,,,,,
2019,1,3,20,104,3.08,0.38,0,0,100.2,,,,,,,,,
2019,1,3,21,102,3.08,0.38,0,0,98.87,,,,,,,,,
2019,1,3,22,101,3.08,0.38,0,0,97.3,,,,,,,,,
2019,1,3,23,98,3.08,0.38,0,0,94.49,,,,,,,,,
2019,1,3,24,97,3.08,0.38,0,0,93.71,,,,,,,,,
2019,1,4,1,98,3.08,0.38,0,0,94.27,,,,,,,,,
2019,1,4,2,94,3.08,0.38,0,0,90.36,,,,,,,,,
2019,1,4,3,94,3.08,0.38,0,0,90.92,,,,,,,,,
2019,1,4,4,92,3.08,0.38,0,0,88.61,,,,,,,,,
2019,1,4,5,96,3.08,0.38,0,0,92.45,,,,,,,,,
2019,1,4,6,101,3.08,0.38,0,0,97.19,,,,,,,,,
2019,1,4,7,103,3.08,0.38,0,0,99.63,,,,,,,,,
2019,1,4,8,107,3.08,0.38,0,0,103.51,,,,,,,,,
2019,1,4,9,114,3.08,0.38,0,0,110.99,,,,,,,,,
2019,1,4,10,111,3.08,0.38,0.18,0.14,107.65,,,,,,,,,
2019,1,4,11,105,3.08,0.38,0.18,0.54,101.15,,,,,,,,,
2019,1,4,12,106,3.08,0.38,0.12,0.74,101.26,,,,,,,,,
2019,1,4,13,98,3.08,0.38,0.12,0.6,94.04,,,,,,,,,
2019,1,4,14,93,3.08,0.38,0.12,0.62,88.68,,,,,,,,,
2019,1,4,15,89,3.08,0.38,0.3,0.54,84.5,,,,,,,,,
2019,1,4,16,89,3.08,0.38,0.24,0.14,85.58,,,,,,,,,
2019,1,4,17,90,3.08,0.38,0,0.12,86.71,,,,,,,,,
2019,1,4,18,98,3.08,0.38,0,0,94.38,,,,,,,,,
2019,1,4,19,100,3.08,0.38,0,0,96.05,,,,,,,,,
2019,1,4,20,100,3.08,0.38,0,0,96.1,,,,,,,,,
2019,1,4,21,100,3.08,0.38,0,0,96.77,,,,,,,,,
2019,1,4,22,103,3.08,0.38,0,0,99.92,,,,,,,,,
2019,1,4,23,98,3.08,0.38,0,0,94.73,,,,,,,,,
2019,1,4,24,93,3.08,0.38,0,0,89.95,,,,,,,,,
2019,1,5,1,87,3.08,0.38,0,0,83.35,,,,,,,,,
2019,1,5,2,86,3.08,0.38,0,0,82.74,,,,,,,,,
2019,1,5,3,86,3.08,0.38,0,0,82.44,,,,,,,,,
